,pickup_datetime,dateandhour,trip_miles,trip_time,trip_minutes,base_passenger_fare,driver_pay,hour,temp,precipitation,tips
728253,2022-04-04 20:55:18-04:00,2022-04-04 20,18.2,2250,37.5,96.53,54.13,20,50.1,0.0,11.8
400456,2022-04-03 21:10:48-04:00,2022-04-03 21,1.37,421,7.016666666666667,12.41,6.54,21,43.0,0.0,0.0
335433,2022-04-03 18:52:10-04:00,2022-04-03 18,1.45,369,6.15,8.27,7.1,18,46.7,0.1,0.0
941561,2022-04-05 12:49:41-04:00,2022-04-05 12,4.59,1177,19.616666666666667,18.21,16.14,12,52.3,0.0,0.0
983533,2022-04-05 15:27:28-04:00,2022-04-05 15,3.51,1065,17.75,18.51,13.46,15,51.7,0.0,9.0
576098,2022-04-04 11:26:19-04:00,2022-04-04 11,1.3,572,9.533333333333333,10.91,11.48,11,49.4,0.0,0.0
1136227,2022-04-05 22:56:47-04:00,2022-04-05 22,10.35,1287,21.45,31.95,26.62,22,47.9,0.3,3.85
49264,2022-04-03 01:13:56-04:00,2022-04-03 01,1.81,497,8.283333333333333,11.79,7.46,1,42.6,0.0,0.0
1356335,2022-04-06 12:02:04-04:00,2022-04-06 12,2.12,1185,19.75,22.9,14.2,12,50.9,0.1,2.55
430295,2022-04-03 23:56:58-04:00,2022-04-03 23,5.63,833,13.883333333333333,22.2,15.61,23,41.5,0.0,0.0
1423977,2022-04-06 16:41:01-04:00,2022-04-06 16,1.48,756,12.6,10.88,8.39,16,51.4,0.0,0.0
185037,2022-04-03 11:56:05-04:00,2022-04-03 11,0.52,274,4.566666666666666,13.62,11.66,11,45.5,1.0,0.0
990519,2022-04-05 15:59:16-04:00,2022-04-05 15,1.53,282,4.7,9.43,6.45,15,51.7,0.0,0.0
482363,2022-04-04 07:25:36-04:00,2022-04-04 07,7.97,3164,52.733333333333334,39.14,37.16,7,42.2,0.0,0.0
2080913,2022-04-08 00:14:43-04:00,2022-04-08 00,1.85,667,11.116666666666667,9.26,8.62,0,51.9,5.3,0.0
2262281,2022-04-08 12:22:17-04:00,2022-04-08 12,1.34,826,13.766666666666667,12.49,8.84,12,57.9,0.0,5.0
1937914,2022-04-07 18:50:51-04:00,2022-04-07 18,2.24,1231,20.516666666666666,19.07,28.22,18,51.2,0.9,0.0
2347891,2022-04-08 16:58:29-04:00,2022-04-08 16,2.13,1332,22.2,15.94,16.32,16,60.2,0.0,0.0
722606,2022-04-04 19:19:28-04:00,2022-04-04 19,6.59,2165,36.083333333333336,34.76,31.59,19,50.9,0.0,0.0
2593879,2022-04-09 01:19:05-04:00,2022-04-09 01,1.41,609,10.15,4.74,7.05,1,50.6,0.0,0.0
571908,2022-04-04 11:54:10-04:00,2022-04-04 11,38.39,3021,50.35,132.6,95.76,11,49.4,0.0,0.0
1136371,2022-04-05 22:41:18-04:00,2022-04-05 22,15.32,1872,31.2,70.5,46.45,22,47.9,0.3,17.79
356371,2022-04-03 19:32:06-04:00,2022-04-03 19,3.26,846,14.1,17.46,12.63,19,45.2,0.5,0.0
2667974,2022-04-09 08:39:20-04:00,2022-04-09 08,10.17,1451,24.183333333333334,34.75,28.3,8,48.4,0.6,8.32
1030096,2022-04-05 17:15:31-04:00,2022-04-05 17,3.47,1030,17.166666666666668,20.89,14.35,17,49.4,0.0,0.0
2336906,2022-04-08 16:13:24-04:00,2022-04-08 16,2.85,1289,21.483333333333334,22.61,16.04,16,60.2,0.0,0.0
1801121,2022-04-07 14:30:40-04:00,2022-04-07 14,0.59,246,4.1,8.27,6.06,14,49.5,1.7,0.0
231322,2022-04-03 13:46:28-04:00,2022-04-03 13,1.56,1301,21.683333333333334,19.93,16.6,13,45.5,0.3,0.0
1472652,2022-04-06 18:42:15-04:00,2022-04-06 18,3.56,1175,19.583333333333332,35.16,27.48,18,50.5,0.0,0.0
1799727,2022-04-07 14:59:14-04:00,2022-04-07 14,1.12,919,15.316666666666666,10.44,9.86,14,49.5,1.7,0.0
973654,2022-04-05 14:37:43-04:00,2022-04-05 14,2.97,980,16.333333333333332,19.13,12.09,14,52.2,0.0,0.0
1217336,2022-04-06 07:42:14-04:00,2022-04-06 07,5.42,884,14.733333333333333,35.16,21.35,7,47.8,2.3,0.0
1113511,2022-04-05 21:43:51-04:00,2022-04-05 21,25.35,2213,36.88333333333333,100.14,61.63,21,48.6,0.1,0.0
2436694,2022-04-08 20:58:12-04:00,2022-04-08 20,2.23,1049,17.483333333333334,16.47,13.03,20,54.5,0.0,0.0
2878404,2022-04-09 18:44:24-04:00,2022-04-09 18,1.73,690,11.5,14.27,8.18,18,52.1,0.0,0.0
23662,2022-04-03 00:34:58-04:00,2022-04-03 00,0.86,651,10.85,21.71,18.42,0,43.1,0.0,0.0
